Date,Open,High,Low,Close,Volume
2021-10-14,1.36692,1.37348,1.36589,1.36687,44335988281.25
2021-10-15,1.36687,1.37737,1.36685,1.37556,51065808593.75
2021-10-17,1.37606,1.37653,1.3749,1.37613,6414700195.3125
2021-10-18,1.37614,1.37644,1.37094,1.37364,45565695312.5
2021-10-19,1.37363,1.38342,1.37363,1.3793,43711089843.75
2021-10-20,1.37932,1.38349,1.37428,1.38225,47579039062.5
2021-10-21,1.38225,1.38337,1.37766,1.37918,53527121093.75
2021-10-22,1.3792,1.38156,1.37363,1.37666,75610648437.5
2021-10-24,1.37568,1.37655,1.37515,1.37624,1906905029.2969
2021-10-25,1.37626,1.37925,1.37423,1.37642,62745691406.25
2021-10-26,1.37644,1.383,1.37572,1.3766,64784300781.25
2021-10-27,1.3766,1.37814,1.37099,1.37323,72920679687.5
2021-10-28,1.37324,1.38155,1.37223,1.37992,86268781250.0
2021-10-29,1.37994,1.38045,1.36684,1.36886,75531460937.5
2021-10-31,1.36936,1.36942,1.36813,1.36831,2214582519.5313
2021-11-01,1.36831,1.36937,1.36423,1.36554,64675355468.75
2021-11-02,1.36553,1.36681,1.3606,1.3617,65422371093.75
2021-11-03,1.3617,1.36991,1.36078,1.36943,66347156250.0
2021-11-04,1.36941,1.36947,1.34715,1.35087,79319898437.5
2021-11-05,1.35086,1.35093,1.34247,1.35042,69148601562.5
2021-11-07,1.34851,1.34998,1.34836,1.34914,5488326660.1563
2021-11-08,1.34914,1.35802,1.34505,1.35645,58741839843.75
2021-11-09,1.35644,1.36079,1.35246,1.35604,62803511718.75
2021-11-10,1.35608,1.35656,1.34019,1.34126,85272726562.5
2021-11-11,1.34126,1.34336,1.33591,1.33657,66030953125.0
2021-11-12,1.33657,1.34268,1.33537,1.34246,56112843750.0
2021-11-14,1.3419,1.34211,1.34124,1.34169,4220284667.9688
2021-11-15,1.34167,1.345,1.34036,1.34109,60112085937.5
2021-11-16,1.34109,1.34734,1.34109,1.34256,72205257812.5
2021-11-17,1.34257,1.3497,1.33967,1.34892,76001531250.0
2021-11-18,1.34892,1.3514,1.34642,1.34996,67673796875.0
2021-11-19,1.34995,1.35103,1.34079,1.34569,86788007812.5
2021-11-21,1.34642,1.34642,1.34309,1.34338,8684897460.9375
2021-11-22,1.34337,1.34504,1.33846,1.33981,82070242187.5
2021-11-23,1.33982,1.34099,1.33426,1.33757,81621593750.0
2021-11-24,1.33757,1.33906,1.3316,1.33305,82001343750.0
2021-11-25,1.33307,1.33541,1.33058,1.33131,76217093750.0
2021-11-26,1.33131,1.33699,1.32788,1.33489,197542828125.0
2021-11-28,1.33438,1.33488,1.33303,1.33412,4958169433.5938
2021-11-29,1.33413,1.33636,1.3288,1.33149,82284296875.0
2021-11-30,1.3315,1.3371,1.31952,1.32959,145414187500.0
2021-12-01,1.32962,1.33523,1.3262,1.32777,97740648437.5
2021-12-02,1.32782,1.3334,1.32722,1.33002,85949226562.5
2021-12-03,1.33,1.33111,1.3209,1.32405,96675406250.0
2021-12-05,1.32281,1.32509,1.32246,1.32358,3236851562.5
2021-12-06,1.32359,1.32866,1.3223,1.32629,77883320312.5
2021-12-07,1.32629,1.32898,1.32095,1.3246,71243601562.5
2021-12-08,1.32458,1.32621,1.31618,1.32097,93225328125.0
2021-12-09,1.32098,1.32252,1.3171,1.32249,61561566406.25
2021-12-10,1.32249,1.32776,1.31877,1.32776,66333812500.0
2021-12-12,1.32546,1.32642,1.32526,1.32577,4545750000.0
2021-12-13,1.32573,1.32692,1.32079,1.32134,65590640625.0
2021-12-14,1.32134,1.3257,1.31917,1.32306,56215339843.75
2021-12-15,1.32304,1.32832,1.31725,1.32629,96524437500.0
2021-12-16,1.32629,1.33751,1.3242,1.33237,88504218750.0
2021-12-17,1.33236,1.33399,1.3232,1.3247,68999718750.0
2021-12-19,1.32472,1.32473,1.3223,1.32298,2433469970.7031
2021-12-20,1.32297,1.3245,1.3174,1.32099,63750445312.5
2021-12-21,1.32101,1.32723,1.31981,1.32687,50505039062.5
2021-12-22,1.32688,1.33641,1.32407,1.33513,49270031250.0
2021-12-23,1.33514,1.34386,1.33432,1.34087,49562539062.5
2021-12-24,1.34088,1.34265,1.33866,1.33964,357891937500.0
2021-12-26,1.34016,1.34106,1.33925,1.34034,1649791259.7656
2021-12-27,1.34035,1.34461,1.33924,1.34421,31458240234.375
2021-12-28,1.34417,1.3462,1.34156,1.34342,33618347656.25
2021-12-29,1.34341,1.34999,1.3409,1.34977,37781359375.0
2021-12-30,1.34976,1.35224,1.34545,1.34981,40215761718.75
2021-12-31,1.34981,1.35508,1.34661,1.35234,46209359375.0
2022-01-02,1.35356,1.35388,1.35212,1.35224,1421067626.9531
2022-01-03,1.35224,1.35303,1.34315,1.34832,59222253906.25
2022-01-04,1.34833,1.35579,1.34601,1.35308,58591363281.25
2022-01-05,1.35311,1.3599,1.35228,1.35555,57462308593.75
2022-01-06,1.35555,1.35597,1.34908,1.35337,63393609375.0
2022-01-07,1.35337,1.35984,1.3528,1.35953,49708015625.0
2022-01-09,1.35861,1.35972,1.35786,1.35921,3047233154.2969
